Fx,Fy,Fz,Tx,Ty,r,z
5.5E-01,2.6E-12,0.549,5.4E-11,5.8E+00,17,3
5.0E-01,-2.2E-12,0.510,-3.5E-11,5.0E+00,17,4
4.5E-01,4.1E-12,0.475,-3.3E-11,4.4E+00,17,5
4.1E-01,-3.9E-12,0.443,-1.4E-10,3.8E+00,17,6
3.8E-01,1.9E-11,0.413,5.9E-11,3.3E+00,17,7
3.4E-01,-1.2E-11,0.386,-2.8E-10,2.9E+00,17,8
3.1E-01,9.9E-13,0.361,-2.4E-10,2.5E+00,17,9
2.9E-01,-9.3E-12,0.338,-2.3E-10,2.2E+00,17,10
2.6E-01,8.6E-12,0.317,-8.7E-13,1.9E+00,17,11
2.4E-01,-7.7E-12,0.297,8.5E-11,1.6E+00,17,12
2.2E-01,-4.2E-12,0.279,2.0E-11,1.4E+00,17,13
2.1E-01,-1.7E-12,0.262,9.4E-11,1.2E+00,17,14
1.9E-01,5.6E-13,0.247,4.9E-11,1.0E+00,17,15
7.4E-01,-3.0E-11,0.615,1.3E-09,8.2E+00,18,0
6.7E-01,-1.1E-11,0.572,-2.1E-10,7.1E+00,18,1
6.1E-01,-4.4E-11,0.532,5.2E-10,6.2E+00,18,2
5.5E-01,-2.1E-11,0.496,-9.6E-10,5.4E+00,18,3
5.0E-01,5.7E-13,0.463,-7.9E-10,4.7E+00,18,4
4.6E-01,2.6E-11,0.433,5.8E-10,4.1E+00,18,5
4.2E-01,1.1E-11,0.405,-1.7E-10,3.6E+00,18,6
3.8E-01,-1.5E-11,0.379,9.3E-10,3.1E+00,18,7
3.5E-01,-8.1E-12,0.355,3.0E-10,2.7E+00,18,8
3.2E-01,1.3E-11,0.333,-2.7E-10,2.3E+00,18,9
2.9E-01,2.1E-12,0.313,-1.9E-10,2.0E+00,18,10
2.7E-01,6.6E-12,0.294,-5.3E-10,1.8E+00,18,11
2.5E-01,-9.9E-12,0.277,-7.7E-10,1.5E+00,18,12
2.3E-01,-4.5E-13,0.260,5.4E-10,1.3E+00,18,13
2.1E-01,-4.1E-12,0.245,2.1E-11,1.1E+00,18,14
1.9E-01,9.0E-12,0.231,-9.4E-10,9.8E-01,18,15
7.5E-01,-1.5E-11,0.540,-2.3E-10,7.4E+00,19,0
6.7E-01,1.9E-11,0.505,1.4E-10,6.5E+00,19,1
6.1E-01,-1.3E-11,0.472,-1.6E-10,5.6E+00,19,2
5.6E-01,-1.3E-11,0.443,4.9E-10,4.9E+00,19,3
5.0E-01,3.5E-12,0.415,1.0E-17,4.3E+00,19,4
4.6E-01,-1.2E-11,0.390,8.0E-10,3.7E+00,19,5
4.2E-01,-6.0E-12,0.366,5.1E-10,3.3E+00,19,6
3.8E-01,-1.6E-11,0.345,-2.2E-10,2.8E+00,19,7
3.5E-01,-2.0E-11,0.324,1.0E-10,2.5E+00,19,8
3.2E-01,-8.1E-12,0.305,-9.7E-11,2.2E+00,19,9
3.0E-01,1.8E-11,0.288,-1.1E-10,1.9E+00,19,10
2.7E-01,9.2E-12,0.271,1.4E-10,1.6E+00,19,11
2.5E-01,-2.2E-11,0.256,3.8E-10,1.4E+00,19,12
2.3E-01,6.9E-13,0.242,2.6E-10,1.2E+00,19,13
2.1E-01,-1.4E-11,0.228,4.7E-10,1.0E+00,19,14
